,imgname,id,name,rarity,cardmarket.prices.averageSellPrice,art.style,edges,corners,surface,centering,recent.sale.price,sold.at
69,2022-05-10 14.02.28.jpg,swsh8-133,Mankey,Common,0.04,no,8.5,9,8.5,9,0.04,Ebay
70,2022-05-10 14.02.36.jpg,swsh8-159,Galarian Zigzagoon,Common,0.04,no,8,8.5,8.5,8,0.04,Ebay
71,2022-05-10 14.02.45.jpg,swsh8-202,Chansey,Common,0.04,no,9,8.5,8.5,9,0.04,Ebay
72,2022-05-10 14.02.52.jpg,swsh8-28,Vulpix,Common,0.04,no,9,8.5,8.5,9,0.04,Ebay
73,2022-05-10 14.02.59.jpg,swsh8-236,Power Tablet,Uncommon,0.15,no,9,8.5,8,8,0.15,Ebay
74,2022-05-10 14.03.06.jpg,swsh8-227,Chili & Cilan & Cress,Uncommon,0.05,no,9,8.5,9,9.5,0.05,Ebay
75,2022-05-10 14.03.14.jpg,swsh8-238,Schoolboy,Uncommon,0.04,no,8.5,9.5,9.5,9,0.04,Ebay
77,2022-05-10 14.03.39.jpg,swsh8-99,Heliolisk,Uncommon,0.06,no,8.5,9,9,8.5,0.06,Ebay
78,2022-05-10 14.03.48.jpg,swsh8-159,Galarian Zigzagoon,Common,0.04,no,8.5,8.5,8.5,8.5,0.04,Ebay
79,2022-05-10 14.03.55.jpg,swsh8-133,Mankey,Common,0.04,no,8,9,8.5,8.5,0.04,Ebay
80,2022-05-10 14.04.02.jpg,swsh8-74,Clauncher,Common,0.04,no,9.5,8,8.5,9.5,0.04,Ebay
81,2022-05-10 14.04.10.jpg,swsh8-150,Stufful,Common,0.04,no,8.5,8.5,9,8.5,0.04,Ebay
82,2022-05-10 14.04.17.jpg,swsh8-10,Swadloon,Uncommon,0.06,no,9.5,9,9,9,0.06,Ebay
83,2022-05-10 14.04.24.jpg,swsh8-229,Cram-o-matic,Uncommon,0.2,no,8.5,8.5,9,9,0.2,Ebay
84,2022-05-10 14.04.31.jpg,swsh8-242,Skaters' Park,Uncommon,0.05,no,9.5,8.5,9.5,8,0.05,Ebay
85,2022-05-10 14.04.40.jpg,swsh8-244,Fusion Strike Energy,Uncommon,0.11,no,9.5,8.5,8,8.5,0.11,Ebay
87,2022-05-10 14.04.55.jpg,swsh8-233,Elesa's Sparkle,Uncommon,0.12,no,9,8,8.5,8.5,0.12,Ebay
88,2022-05-10 14.05.02.jpg,swsh8-123,Sigilyph,Common,0.04,no,9.5,8.5,8.5,8.5,0.04,Ebay
90,2022-05-10 14.05.19.jpg,swsh8-85,Frosmoth,Uncommon,0.05,no,9.5,8.5,8.5,8.5,0.05,Ebay
91,2022-05-10 14.05.26.jpg,swsh8-30,Ninetales,Uncommon,0.1,no,8,9.5,8.5,8.5,0.1,Ebay
92,2022-05-10 14.05.33.jpg,swsh8-187,Togedemaru,Uncommon,0.04,no,8.5,8,9,8.5,0.04,Ebay
93,2022-05-10 14.05.41.jpg,swsh8-91,Shinx,Common,0.04,no,8.5,9,9.5,8.5,0.04,Ebay
94,2022-05-10 14.05.50.jpg,swsh8-13,Shelmet,Common,0.04,no,8,9,9,9,0.04,Ebay
95,2022-05-10 14.05.57.jpg,swsh8-147,Drilbur,Common,0.04,no,9,8,8.5,8.5,0.04,Ebay
96,2022-05-10 14.06.05.jpg,swsh8-214,Bunnelby,Common,0.05,no,8,8,9,9,0.05,Ebay
97,2022-05-10 14.06.12.jpg,swsh8-186,Klefki,Common,0.04,no,9.5,8,9,9,0.04,Ebay
99,2022-05-10 14.06.36.jpg,xy10-54a,Zygarde-EX,Rare Ultra,9.61,full.art.holo,9,8.5,8.5,9,9.61,Ebay
100,2022-05-10 14.06.45.jpg,swsh7-108,Shelgon,Uncommon,0.04,no,8.5,8,9.5,9,0.04,Ebay
101,2022-05-10 14.06.54.jpg,swsh7-85,Hippowdon,Uncommon,0.04,reverse.holo,9,9.5,9,9,0.04,Ebay
102,2022-05-10 14.07.03.jpg,swsh7-60,Regieleki,Rare Holo,0.31,reverse.holo,9,9.5,8.5,8.5,0.31,Ebay
103,2022-05-10 14.07.12.jpg,swsh7-42,Tympole,Common,0.04,no,9.5,8.5,9.5,9,0.04,Ebay
104,2022-05-10 14.07.19.jpg,swsh7-68,Woobat,Common,0.03,no,8.5,8,8,8.5,0.03,Ebay
105,2022-05-10 14.07.28.jpg,swsh7-107,Bagon,Common,0.04,no,8,9.5,8.5,8.5,0.04,Ebay
106,2022-05-10 14.07.35.jpg,swsh7-159,Snow Leaf Badge,Uncommon,0.04,no,9.5,9.5,9.5,9,0.04,Ebay
107,2022-05-10 14.07.43.jpg,swsh7-99,Scrafty,Uncommon,0.04,no,9,9,8,9,0.04,Ebay
108,2022-05-10 14.07.51.jpg,swsh7-150,Lucky Ice Pop,Uncommon,0.05,no,8.5,8,8.5,8.5,0.05,Ebay
110,2022-05-10 14.08.08.jpg,swsh7-125,Eevee,Common,0.07,no,9.5,9,8,9,0.07,Ebay
111,2022-05-10 14.08.16.jpg,swsh7-71,Flab̩b̩,Common,0.03,no,8,8,9,9,0.03,Ebay
112,2022-05-10 14.08.22.jpg,swsh7-164,Zinnia's Resolve,Uncommon,0.06,no,8.5,9.5,8.5,9,0.06,Ebay
113,2022-05-10 14.08.30.jpg,swsh7-146,Dream Ball,Uncommon,0.05,no,9,8.5,8.5,9,0.05,Ebay
114,2022-05-10 14.08.37.jpg,swsh7-113,Deino,Common,0.04,no,9,8.5,8.5,8,0.04,Ebay
115,2022-05-10 14.08.53.jpg,swsh7-133,Lillipup,Common,0.04,no,8.5,9,9,8.5,0.04,Ebay
116,2022-05-10 14.09.00.jpg,swsh7-107,Bagon,Common,0.04,no,8.5,9.5,9.5,9,0.04,Ebay
117,2022-05-10 14.09.09.jpg,swsh7-22,Litleo,Common,0.04,no,8.5,8.5,9.5,9,0.04,Ebay
118,2022-05-10 14.09.17.jpg,swsh7-159,Snow Leaf Badge,Uncommon,0.04,reverse.holo,8.5,9,9,9,0.04,Ebay
119,2022-05-10 14.09.25.jpg,swsh7-36,Sharpedo,Rare,0.06,no,8.5,8.5,8.5,9,0.06,Ebay
121,2022-05-10 14.09.42.jpg,swsh7-139,Fletchinder,Uncommon,0.04,no,8.5,8.5,9,9.5,0.04,Ebay
122,2022-05-10 14.09.49.jpg,swsh7-53,Lanturn,Uncommon,0.04,no,9,9,9.5,8.5,0.04,Ebay
123,2022-05-10 14.09.56.jpg,swsh7-160,Spirit Mask,Uncommon,0.05,no,8.5,9,9,9.5,0.05,Ebay
124,2022-05-10 14.10.04.jpg,swsh7-99,Scrafty,Uncommon,0.04,reverse.holo,9,8,9.5,8,0.04,Ebay
125,2022-05-10 14.10.11.jpg,swsh7-125,Eevee,Common,0.07,no,8.5,8.5,8.5,8.5,0.07,Ebay
126,2022-05-10 14.10.19.jpg,swsh7-68,Woobat,Common,0.03,no,9,8.5,9,8.5,0.03,Ebay
127,2022-05-10 14.10.26.jpg,swsh7-5,Seedot,Common,0.03,no,9,9.5,9.5,9.5,0.03,Ebay
128,2022-05-10 14.10.34.jpg,swsh7-132,Swablu,Common,0.04,no,8.5,9,9,9.5,0.04,Ebay
129,2022-05-10 14.10.40.jpg,swsh7-24,Psyduck,Common,0.33,no,8.5,8.5,9,8,0.33,Ebay
130,2022-05-10 14.10.48.jpg,swsh7-33,Lombre,Uncommon,0.04,no,8.5,9,9,8.5,0.04,Ebay
131,2022-05-10 14.10.54.jpg,swsh7-130,Vigoroth,Uncommon,0.04,no,9,8,9,9,0.04,Ebay
132,2022-05-10 14.11.00.jpg,swsh7-62,Hypno,Uncommon,0.04,no,8.5,8.5,8,8,0.04,Ebay
134,2022-05-10 14.11.14.jpg,swsh7-147,Elemental Badge,Uncommon,0.06,reverse.holo,8,8,9.5,9,0.06,Ebay
135,2022-05-10 14.11.21.jpg,swsh7-121,Appletun,Rare,0.05,reverse.holo,8.5,8.5,9,9,0.05,Ebay
136,2022-05-10 14.11.29.jpg,swsh7-106,Altaria,Rare,0.1,no,9,9.5,9,9.5,0.1,Ebay
138,2022-05-10 14.11.42.jpg,swsh7-33,Lombre,Uncommon,0.04,no,8.5,9.5,9,8.5,0.04,Ebay
139,2022-05-10 14.11.49.jpg,swsh7-148,Full Face Guard,Uncommon,0.05,no,8.5,8,8.5,8,0.05,Ebay
140,2022-05-10 14.11.57.jpg,swsh7-62,Hypno,Uncommon,0.04,no,8.5,9,9,8,0.04,Ebay
141,2022-05-10 14.12.04.jpg,swsh7-66,Wobbuffet,Common,0.04,no,8.5,8,9,9,0.04,Ebay
142,2022-05-10 14.12.11.jpg,swsh7-54,Mareep,Common,0.03,no,8.5,8.5,9,9,0.03,Ebay
143,2022-05-10 14.12.20.jpg,swsh7-38,Milotic,Rare,0.11,reverse.holo,8.5,8,9.5,8.5,0.11,Ebay
144,2022-05-10 14.12.28.jpg,swsh7-113,Deino,Common,0.04,no,9.5,8.5,9,9,0.04,Ebay
145,2022-05-10 14.12.36.jpg,swsh7-2,Hoppip,Common,0.04,no,9,9,8.5,9,0.04,Ebay
146,2022-05-10 14.12.43.jpg,swsh7-26,Tentacool,Common,0.04,no,8,8.5,8.5,9,0.04,Ebay
147,2022-05-10 14.12.49.jpg,swsh7-127,Ursaring,Uncommon,0.04,no,9.5,9,9,8,0.04,Ebay
148,2022-05-10 14.12.56.jpg,swsh7-158,Single Strike Scroll of the Fanged Dragon,Uncommon,0.04,no,9,8,8.5,8.5,0.04,Ebay
149,2022-05-10 14.13.03.jpg,swsh7-23,Pyroar,Uncommon,0.04,no,8.5,8.5,9.5,8.5,0.04,Ebay
151,2022-05-10 14.13.21.jpg,swsh7-37,Feebas,Common,0.03,no,8.5,9,9,9,0.03,Ebay
152,2022-05-10 14.13.28.jpg,swsh7-2,Hoppip,Common,0.04,no,9,8.5,9,8.5,0.04,Ebay
153,2022-05-10 14.13.35.jpg,swsh7-81,Hitmonchan,Common,0.03,no,8.5,9,8.5,8.5,0.03,Ebay
154,2022-05-10 14.13.43.jpg,swsh7-138,Fletchling,Common,0.04,no,9.5,9.5,9,9,0.04,Ebay
155,2022-05-10 14.13.50.jpg,swsh7-26,Tentacool,Common,0.04,no,9.5,8.5,8,9,0.04,Ebay
156,2022-05-10 14.13.57.jpg,swsh8-136,Graveler,Uncommon,0.07,reverse.holo,9,8,9,9,0.07,Ebay
157,2022-05-10 14.14.05.jpg,swsh8-15,Virizion,Rare,0.15,no,9,9,9,8.5,0.15,Ebay
158,2022-05-10 14.14.11.jpg,swsh8-209,Smeargle,Common,0.04,no,9,8.5,9,8.5,0.04,Ebay
159,2022-05-10 14.14.19.jpg,swsh8-179,Morpeko,Common,0.05,no,9,9,9,9,0.05,Ebay
160,2022-05-10 14.14.25.jpg,swsh7-126,Teddiursa,Common,0.04,no,8,8.5,9.5,9,0.04,Ebay
161,2022-05-10 14.14.32.jpg,swsh7-97,Shiftry,Rare,0.07,no,9.5,8,9.5,8.5,0.07,Ebay
162,2022-05-10 14.14.38.jpg,swsh8-152,Clobbopus,Common,0.04,no,8.5,9,9.5,8.5,0.04,Ebay
163,2022-05-10 14.14.45.jpg,swsh8-212,Buneary,Common,0.04,no,9.5,9,8.5,9,0.04,Ebay
164,2022-05-10 14.14.52.jpg,swsh8-55,Totodile,Common,0.04,no,9,9,9.5,9,0.04,Ebay
165,2022-05-10 14.15.00.jpg,swsh8-106,Toxel,Common,0.04,no,8.5,8.5,9.5,8.5,0.04,Ebay
166,2022-05-10 14.15.07.jpg,swsh8-181,Galarian Perrserker,Uncommon,0.06,no,9,9,9,9,0.06,Ebay
167,2022-05-10 14.15.15.jpg,swsh8-32,Growlithe,Common,0.04,no,8.5,8.5,9,9,0.04,Ebay
168,2022-05-10 14.15.22.jpg,swsh8-87,Voltorb,Common,0.05,no,8.5,8.5,9.5,8,0.05,Ebay
169,2022-05-10 14.15.29.jpg,swsh8-155,Falinks,Common,0.04,reverse.holo,9,9.5,8,9,0.04,Ebay
170,2022-05-10 14.15.37.jpg,swsh8-97,Eelektross,Rare,0.15,reverse.holo,8.5,9,9.5,8.5,0.15,Ebay
171,2022-05-10 14.15.46.jpg,swsh4-93,Zygarde,Rare Holo,0.27,reverse.holo,9.5,8.5,8.5,8.5,0.27,Ebay
172,2022-05-10 14.15.53.jpg,swsh8-101,Vikavolt,Rare,0.13,reverse.holo,8.5,8,9.5,8.5,0.13,Ebay
173,2022-05-10 14.16.00.jpg,swsh8-155,Falinks,Common,0.04,reverse.holo,9,9.5,9.5,9,0.04,Ebay
174,2022-05-10 14.16.08.jpg,swsh8-20,Araquanid,Rare,0.15,reverse.holo,9,9,9,9.5,0.15,Ebay
175,2022-05-10 14.16.16.jpg,swsh7-142,Boost Shake,Uncommon,0.08,reverse.holo,8.5,9,9,8.5,0.08,Ebay
177,2022-05-10 14.16.30.jpg,swsh7-134,Herdier,Uncommon,0.04,no,8,9,9,8,0.04,Ebay
178,2022-05-10 14.16.38.jpg,swsh7-160,Spirit Mask,Uncommon,0.05,no,8.5,9.5,9.5,9,0.05,Ebay
179,2022-05-10 14.16.46.jpg,swsh7-89,Palpitoad,Uncommon,0.04,no,8.5,9,9,9.5,0.04,Ebay
180,2022-05-10 14.16.53.jpg,swsh7-98,Scraggy,Common,0.04,no,8.5,8.5,8.5,9,0.04,Ebay
181,2022-05-10 14.16.59.jpg,swsh7-84,Hippopotas,Common,0.04,no,9.5,9.5,9,9,0.04,Ebay
182,2022-05-10 14.17.07.jpg,swsh7-42,Tympole,Common,0.04,no,9,9,9.5,9,0.04,Ebay
183,2022-05-10 14.17.14.jpg,swsh7-22,Litleo,Common,0.04,no,8.5,8.5,8,9,0.04,Ebay
184,2022-05-10 14.17.21.jpg,swsh7-125,Eevee,Common,0.07,no,8.5,9,9.5,9,0.07,Ebay
186,2022-05-10 14.17.36.jpg,swsh7-47,Eiscue,Uncommon,0.04,no,8,9,8.5,9.5,0.04,Ebay
187,2022-05-10 14.17.43.jpg,swsh7-148,Full Face Guard,Uncommon,0.05,no,9,9,9,8,0.05,Ebay
188,2022-05-10 14.17.52.jpg,swsh7-5,Seedot,Common,0.03,no,9,8,8,8,0.03,Ebay
189,2022-05-10 14.18.00.jpg,swsh7-22,Litleo,Common,0.04,no,9,9,8.5,9.5,0.04,Ebay
190,2022-05-10 14.18.07.jpg,swsh7-76,Pumpkaboo,Common,0.04,reverse.holo,8.5,9,9.5,8,0.04,Ebay
191,2022-05-10 14.18.14.jpg,swsh7-6,Tropius,Rare,0.06,no,8,9,8,8.5,0.06,Ebay
192,2022-05-10 14.18.21.jpg,swsh7-1,Pinsir,Rare,0.05,no,9,8.5,8.5,8.5,0.05,Ebay
194,2022-05-10 14.18.36.jpg,swsh7-127,Ursaring,Uncommon,0.04,no,8,9,8,9,0.04,Ebay
195,2022-05-10 14.18.43.jpg,swsh7-144,Crystal Cave,Uncommon,0.07,no,8.5,8.5,8.5,8,0.07,Ebay
196,2022-05-10 14.18.50.jpg,swsh7-163,Toy Catcher,Uncommon,0.04,no,8,8,9.5,8.5,0.04,Ebay
197,2022-05-10 14.18.57.jpg,swsh7-32,Lotad,Common,0.04,no,9,8.5,9,9,0.04,Ebay
198,2022-05-10 14.19.04.jpg,swsh7-126,Teddiursa,Common,0.04,no,9,8,9.5,9,0.04,Ebay
199,2022-05-10 14.19.11.jpg,swsh7-43,Cryogonal,Common,0.05,no,9,8,9.5,8.5,0.05,Ebay
200,2022-05-10 14.19.17.jpg,swsh7-104,Nickit,Common,0.03,no,8.5,9,8,8.5,0.03,Ebay
201,2022-05-10 14.19.24.jpg,swsh7-11,Dwebble,Common,0.04,no,9,9.5,8,8,0.04,Ebay
203,2022-05-10 14.19.38.jpg,swsh7-72,Floette,Uncommon,0.04,no,9.5,9,9.5,9,0.04,Ebay
204,2022-05-10 14.19.46.jpg,swsh7-127,Ursaring,Uncommon,0.04,reverse.holo,9.5,8,8.5,9,0.04,Ebay
205,2022-05-10 14.19.53.jpg,swsh7-105,Thievul,Rare,0.07,no,9,9,9,8.5,0.07,Ebay
206,2022-05-10 14.19.59.jpg,swsh7-87,Boldore,Uncommon,0.04,no,8.5,9.5,8.5,8.5,0.04,Ebay
207,2022-05-10 14.20.06.jpg,swsh7-141,Aroma Lady,Uncommon,0.05,no,9.5,9,9.5,8,0.05,Ebay
208,2022-05-10 14.20.16.jpg,swsh7-9,Petilil,Common,0.03,no,8.5,9,9,8,0.03,Ebay
209,2022-05-10 14.20.23.jpg,swsh7-43,Cryogonal,Common,0.05,no,8,8.5,8.5,9.5,0.05,Ebay
210,2022-05-10 14.20.29.jpg,swsh7-102,Zorua,Common,0.08,no,9.5,9.5,8,8,0.08,Ebay
211,2022-05-10 14.20.37.jpg,swsh7-2,Hoppip,Common,0.04,no,9.5,8.5,9.5,8.5,0.04,Ebay
212,2022-05-10 14.20.45.jpg,swsh7-148,Full Face Guard,Uncommon,0.05,no,8,8.5,8,8.5,0.05,Ebay
213,2022-05-10 14.20.52.jpg,swsh7-33,Lombre,Uncommon,0.04,no,8,8,8,9,0.04,Ebay
215,2022-05-10 14.21.14.jpg,swsh7-52,Chinchou,Common,0.03,no,8.5,9,8.5,9.5,0.03,Ebay
216,2022-05-10 14.21.20.jpg,swsh7-22,Litleo,Common,0.04,no,8,8,9.5,8.5,0.04,Ebay
217,2022-05-10 14.21.27.jpg,swsh7-132,Swablu,Common,0.04,no,8.5,9.5,9,9.5,0.04,Ebay
219,2022-05-10 14.21.40.jpg,swsh7-130,Vigoroth,Uncommon,0.04,no,8,9,8.5,9,0.04,Ebay
220,2022-05-10 14.21.48.jpg,swsh7-33,Lombre,Uncommon,0.04,no,8,9,9,8.5,0.04,Ebay
221,2022-05-10 14.21.54.jpg,swsh7-148,Full Face Guard,Uncommon,0.05,no,8.5,8,9.5,9,0.05,Ebay
222,2022-05-10 14.22.02.jpg,swsh7-126,Teddiursa,Common,0.04,no,8,8,9,9.5,0.04,Ebay
223,2022-05-10 14.22.09.jpg,swsh7-37,Feebas,Common,0.03,no,8.5,9,9,9,0.03,Ebay
224,2022-05-10 14.22.15.jpg,swsh7-2,Hoppip,Common,0.04,no,8.5,9.5,8,9,0.04,Ebay
225,2022-05-10 14.22.25.jpg,swsh8-183,Excadrill,Uncommon,0.05,reverse.holo,9.5,9.5,8.5,9,0.05,Ebay
226,2022-05-10 14.22.34.jpg,swsh8-150,Stufful,Common,0.04,no,9,8,9,8.5,0.04,Ebay
227,2022-05-10 14.22.40.jpg,swsh8-32,Growlithe,Common,0.04,no,8,8.5,9,8.5,0.04,Ebay
228,2022-05-10 14.22.47.jpg,swsh8-74,Clauncher,Common,0.04,no,8.5,9,9,8,0.04,Ebay
229,2022-05-10 14.22.55.jpg,swsh8-133,Mankey,Common,0.04,no,8.5,9,8,9.5,0.04,Ebay
230,2022-05-10 14.23.01.jpg,swsh8-132,Sandslash,Uncommon,0.07,no,8.5,9,8.5,8.5,0.07,Ebay
231,2022-05-10 14.23.08.jpg,swsh8-159,Galarian Zigzagoon,Common,0.04,no,9,8.5,8,8.5,0.04,Ebay
232,2022-05-10 14.23.15.jpg,swsh8-220,Corvisquire,Uncommon,0.05,no,8.5,9.5,9,9,0.05,Ebay
233,2022-05-10 14.23.22.jpg,swsh8-243,Spongy Gloves,Uncommon,0.04,no,9,9,8.5,9,0.04,Ebay
235,2022-05-10 14.23.35.jpg,swsh8-188,Meltan,Common,0.05,no,9,8,8,8,0.05,Ebay
236,2022-05-10 14.23.42.jpg,swsh8-29,Vulpix,Common,0.05,no,8.5,8,9.5,9,0.05,Ebay
237,2022-05-10 14.23.48.jpg,swsh8-227,Chili & Cilan & Cress,Uncommon,0.05,no,8.5,9.5,8.5,8.5,0.05,Ebay
